Player_Rank_Salary,Player_Name,Team_Salary,Salary_2025,Guaranteed_Salary,player_id,Player_Rank_Stats,Age,Team,Pos,FG,FG_Percent,ThreeP,ThreeP_Percent,TwoP,TwoP_Percent,eFG_Percent,FT,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Log_Salary_2025
64,Anfernee Simons,CHI,27678571.0,$27678571,simonan01,109,26,CHI,SG,5.8,0.438,2.7,0.32,3.2,0.633,0.538,0.8,1.0,0.8,2.0,2.8,3.0,0.0,0.3,15.2,,17.136169061658546
65,Devin Vassell,SAS,27000000.0,$105652174,vassede01,119,25,SAS,SG,4.9,0.437,2.5,0.384,2.4,0.508,0.547,1.6,0.815,0.6,3.4,4.0,2.5,0.9,0.4,13.9,,17.111347423968603
67,Tobias Harris,DET,26634146.0,$26634146,harrito02,137,33,DET,PF,4.9,0.469,1.3,0.368,3.6,0.521,0.531,2.2,0.866,0.9,4.3,5.1,2.5,0.9,0.4,13.3,,17.097704634744304
68,John Collins,LAC,26580000.0,$26580000,collijo01,126,28,LAC,PF,5.3,0.552,1.3,0.406,4.0,0.625,0.62,1.7,0.766,1.6,3.7,5.3,1.0,0.9,0.7,13.6,,17.095669611249374
69,Draymond Green,GSW,25892857.0,$53571428,greendr01,266,35,GSW,PF,3.0,0.418,1.5,0.326,1.5,0.575,0.52,0.9,0.702,0.8,4.7,5.5,5.5,0.9,0.6,8.4,DPOY-11,17.069477697126505
70,Deandre Ayton,POR,33654814.0,$25550814,aytonde01,144,27,LAL,C,5.6,0.671,0.0,,5.6,0.671,0.671,1.3,0.645,2.6,5.4,8.0,0.8,0.6,1.0,12.5,,17.33166666474402
71,Nic Claxton,BRK,25352272.0,$69443183,claxtni01,169,26,BRK,C,4.8,0.571,0.0,0.158,4.8,0.585,0.574,2.0,0.616,2.4,4.5,6.9,3.7,0.7,1.1,11.7,,17.04837890923191
72,Myles Turner,MIL,25318251.0,$79752492,turnemy01,165,29,MIL,C,4.0,0.44,2.1,0.383,1.9,0.523,0.553,1.8,0.74,1.1,4.3,5.3,1.5,0.7,1.6,11.9,,17.04703607702502
73,Trey Murphy III,NOP,25000000.0,$112000000,murphtr02,30,25,NOP,SF,7.5,0.47,3.2,0.379,4.2,0.577,0.572,3.3,0.886,1.0,4.8,5.7,3.8,1.5,0.4,21.5,,17.034386382832476
74,Josh Giddey,CHI,25000000.0,$100000000,giddejo01,74,23,CHI,PG,5.9,0.448,1.9,0.364,4.0,0.502,0.52,3.2,0.763,1.2,7.1,8.3,9.1,1.0,0.5,17.0,,17.034386382832476
75,Miles Bridges,CHO,25000000.0,$47826087,bridgmi02,71,27,CHO,PF,6.2,0.46,1.9,0.333,4.3,0.554,0.531,2.7,0.822,1.0,4.9,5.8,3.2,0.6,0.4,17.1,,17.034386382832476
77,Mikal Bridges,NYK,24900000.0,$133382144,bridgmi01,107,29,NYK,SF,5.8,0.49,1.9,0.371,3.9,0.582,0.571,1.0,0.827,1.0,2.8,3.8,3.7,1.3,0.8,14.4,,17.030378361434938
78,DeMar DeRozan,SAC,24570000.0,$24570000,derozde01,59,36,SAC,PF,6.5,0.497,0.6,0.32,5.9,0.527,0.52,4.9,0.868,0.5,2.5,2.9,4.1,1.0,0.3,18.4,,17.01703674449736
79,Jaden McDaniels,MIN,24393104.0,$108413793,mcdanja02,105,25,MIN,PF,5.7,0.515,1.4,0.412,4.3,0.562,0.579,2.0,0.835,1.0,3.2,4.2,2.7,1.1,1.0,14.8,,17.009811027367217
80,Jonathan Kuminga,ATL,23799569.0,$23799569,kuminjo01,152,23,2TM,PF,4.4,0.463,1.0,0.333,3.4,0.521,0.515,2.5,0.724,1.4,4.3,5.6,2.3,0.6,0.3,12.2,,16.98517802923403
80,Jonathan Kuminga,ATL,23799569.0,$23799569,kuminjo01,152,23,GSW,PF,4.4,0.454,0.9,0.321,3.6,0.504,0.497,2.5,0.742,1.5,4.4,5.9,2.5,0.4,0.3,12.1,,16.98517802923403
80,Jonathan Kuminga,ATL,23799569.0,$23799569,kuminjo01,152,23,ATL,PF,4.3,0.476,1.1,0.346,3.2,0.548,0.538,2.5,0.702,1.3,4.1,5.3,2.1,0.9,0.3,12.3,,16.98517802923403
81,De'Andre Hunter,SAC,23303571.0,$48214285,huntede01,124,28,2TM,SF,4.6,0.415,1.7,0.305,3.0,0.522,0.49,2.8,0.867,0.7,3.4,4.1,2.0,0.7,0.1,13.7,,16.964117168595113
81,De'Andre Hunter,SAC,23303571.0,$48214285,huntede01,124,28,CLE,SF,4.7,0.423,1.7,0.308,3.0,0.535,0.499,2.8,0.869,0.7,3.6,4.2,2.1,0.7,0.1,14.0,,16.964117168595113
81,De'Andre Hunter,SAC,23303571.0,$48214285,huntede01,124,28,SAC,SF,2.0,0.211,1.0,0.222,1.0,0.2,0.263,2.5,0.833,0.5,1.0,1.5,0.5,0.0,0.0,7.5,,16.964117168595113
82,Aaron Gordon,DEN,22841455.0,$92850172,gordoaa01,88,30,DEN,PF,5.5,0.497,1.7,0.389,3.8,0.568,0.574,3.5,0.767,1.4,4.4,5.8,2.7,0.6,0.3,16.2,,16.94408764475109
